Index,HIP,Vmag,X,Y,Tipo,Name
1,32349,-1.44,224.2701838648416,213.4275313133413,Científica,* alf CMa
2,69673,-0.05,1017.5437715458376,426.7783351399016,Científica,* alf Boo
3,24608,0.08,251.13089561382495,561.4001930485007,Científica,* alf Aur
4,24436,0.18,39.433897692965594,280.6805108682213,Científica,* bet Ori
5,37279,0.4,321.16449689357813,314.9272254461721,Científica,* alf CMi
6,27989,0.45,130.91931262036124,355.6503635926679,Científica,* alf Ori
7,60718,0.77,859.5518398677838,26.42375348196563,Científica,* alf Cru
8,21421,0.87,29.737790205557175,452.38877128076206,Científica,* alf Tau
9,65474,0.98,991.1948604180168,271.3939052751302,Científica,* alf Vir
10,37826,1.16,360.949175658036,419.61492607518034,Científica,* bet Gem
11,62434,1.25,894.1886356906604,42.41315020335239,Científica,* bet Cru
12,49669,1.36,599.5382120482174,336.1454276964211,Científica,* alf Leo
13,33579,1.5,277.3727770658602,149.6208516527281,Científica,* eps CMa
14,36850,1.58,353.03286154543355,439.8711677745245,Científica,* alf Gem
15,61084,1.59,876.6971127543346,53.51411072537716,Científica,* gam Cru
16,25336,1.64,75.0242580680904,363.4654797263755,Científica,* gam Ori
17,25428,1.65,157.68830192687096,480.1108774654172,Científica,* bet Tau
18,26311,1.69,83.91492589658532,315.02124215394633,Científica,* eps Ori
19,26727,1.74,91.93941965020592,309.0368633959496,Científica,* zet Ori
20,39953,1.75,465.6070472563107,69.16242868329742,Científica,* gam02 Vel
21,62956,1.76,773.2289456597631,546.0814031231853,Científica,* eps UMa
22,15863,1.79,232.8458826954715,652.5652391219473,Científica,* alf Per
23,54061,1.81,650.4276248284633,551.6766031609469,Científica,* alf UMa
24,34444,1.83,288.6172258497379,162.83262239145168,Científica,* del CMa
25,67301,1.85,856.5427580798605,537.1538822780474,Científica,* eta UMa
26,41037,1.86,539.0879746917533,18.483684189614433,Científica,* eps Car
27,28360,1.9,283.66799635683935,534.0081932248605,Científica,* bet Aur
28,42913,1.93,547.8523151370571,42.123158335182296,Científica,* del01 Vel
29,31681,1.93,224.0756967372577,385.34956092355475,Científica,* gam Gem
30,11767,1.97,610.7515499233937,672.1632844144274,Científica,* alf UMi
31,30324,1.98,182.50712305364837,209.01022254971343,Científica,* bet CMa
32,46390,1.99,532.8596938272553,245.67219027434737,Científica,* alf Hya
33,50583,2.01,616.9667401434524,370.4396238475575,Científica,* gam Leo
34,68933,2.06,1065.6196106564537,159.35615592181097,Científica,* tet Cen
35,72607,2.07,745.8545963368279,638.0717909036391,Científica,* bet UMi
